"Отметка времени","Когда Вы родились?","Вася купил все апельсины, но два осталось.","Эта гора совершенно высокая.","Послезавтра он объявит, что завтра заснёт в канаве.","Эта скатерть немного грязная.","Комната Вадика совершенно тёмная.","Мы ели, пока она играла на бубне.","Интернет в общежитии немного быстрый.","Вода в ванне немного холодная.","Наш лев совершенно трусливый.","Фея дала каждому ребёнку по конфете, но не всем.","Наташа ждала, пока Таня не будет работать.","Машины гантели совершенно лёгкие.","Новый учитель информатики немного злой.","Моя соседка по парте немного умная.","Болгарин, который продавал чай на углу, был немного скупой.","Лицо на той картине совершенно красивое.","Все студенты в пятой группе совершенно трудолюбивые.","Бабка сказала, что Таня тогда беременна.","Мы ждали, пока Антон не приехал.","Начальник скажет, что Лера тогда будет работать на выезде.","Комната Вадика совершенно светлая.","Интернет в общежитии немного медленный.","Наш лев немного трусливый.","Наташа ждала, пока Таня работала.","Эта гора совершенно низкая.","Машины гантели совершенно тяжёлые.","Эта скатерть немного чистая.","Вода в ванне немного горячая.","Начальник скажет, что Лера тогда будет работать на выезде.","Новый учитель информатики совершенно злой.","Болгарин, который продавал чай на углу, был совершенно скупой.","Все студенты в пятой группе немного трудолюбивые.","Моя соседка по парте совершенно умная.","Вася купил несколько апельсинов, но два осталось.","Фея дала каждому ребёнку по конфете, но Васе не досталось.","Лицо на той картине совершенно уродливое.","Мы ели, пока она играет на бубне.","Бабка сказала, что Таня тогда была беременна.","Мы ждали, пока Антон не приедет.","Послезавтра он объявит, что завтра заснул в канаве.","Наш лев совершенно храбрый.","Интернет в общежитии совершенно медленный.","Начальник скажет, что Лера тогда работает на выезде.","Все студенты в пятой группе совершенно ленивые.","Наташа ждала, пока Таня работала.","Вася купил несколько апельсинов, но два осталось.","Эта скатерть совершенно грязная.","Болгарин, который продавал чай на углу, был немного щедрый.","Машины гантели немного лёгкие.","Послезавтра он объявит, что вчера заснёт в канаве.","Фея дала каждому ребёнку по конфете, но каждому не хватило.","Комната Вадика немного светлая.","Мы ели, пока она не играет на бубне.","Лицо на той картине немного красивое.","Вода в ванне совершенно холодная.","Эта гора немного высокая.","Новый учитель информатики немного добрый.","Бабка говорит, что Таня сейчас беременна.","Моя соседка по парте немного глупая.","Мы ждали, пока Антон приехал.","Машины гантели немного тяжёлые.","Мы ели, пока она не играла на бубне.","Моя соседка по парте совершенно глупая.","Новый учитель информатики совершенно злой.","Мы ждали, пока Антон приедет.","Болгарин, который продавал чаи на углу, был совершенно щедрый.","Эта гора немного низкая.","Начальник скажет, что Лера тогда работала на выезде.","Послезавтра он объявит, что вчера заснул в канаве.","Лицо на той картине немного уродливое.","Вода в ванне совершенно горячая.","Фея дала каждому ребёнку по конфете, но всем не хватило.","Интернет в общежитии совершенно быстрый.","Комната Вадика немного тёмная.","Все студенты в пятой группе немного ленивые.","Вася купил все апельсины, но два осталось.","Эта скатерть совершенно чистая.","Наташа ждала, пока Таня будет работать.","Наш лев немного храбрый.","Бабка говорит, что Таня сейчас была беременна."
"2025/02/25 3:49:55 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","5","4","5","3","4","4","3","5","3","2","2","4","5","2","3","4","5","2"
"2025/02/25 3:50:54 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","2","4","5","1","5","5","4","1","3","5","1","3","5","4","5","5","5","1","5","4","5","5","1","2","5","4","1","5","5","3","2","5","5","1","5","1","5","1"
"2025/02/25 3:54:19 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","3","2","5","2","4","5","3","4","2","2","2","3","5","1","2","2","2","3"
"2025/02/25 3:54:58 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","3","5","5","5","2","1","1","5","5","1","4","1","1","5","1","5","1","5","4","1","1","1","1","5","5","5","5","1","1","1","1","2","3","1","5","1","1","5","5","2","1","5","5","5","5","2","1","5","5","5","1","1","2","5","5","1","5","3","1","1"
"2025/02/25 3:55:09 PM GMT+3","Летом","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","4","5","5","3","5","1","3","1","1","3","2","1","5","3","3","5","5","1","5","5","5","5","5","1","5","5","5","5","1","1","1","5","5","1","5","2","2","1"
"2025/02/25 3:55:59 PM GMT+3","Зимой","5","5","5","5","5","5","1","1","5","1","4","5","5","2","1","5","1","4","5","2","2","1","5","5","4","5","1","5","2","1","1","1","1","2","5","5","5","1","5","4","1","1","1","5","5","5","5","4","1","1","1","1","4","1","5","1","1","5","5","1","5","5","5","5","5","2","1","5","5","2","5","1","1","4","4","1","5","5","1","1"
"2025/02/25 3:56:21 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","3","2","5","2","2","5","5","5","1","5","1","5","5","1","5","5","1","1"
"2025/02/25 3:56:36 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","5","3","4","2","2","2","3","5","3","2","1","5","5","2","2","2","3","1"
"2025/02/25 3:56:41 PM GMT+3","Осенью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","5","5","5","4","5","5","5","5","5","2","3","5","5","2","5","2","5","3"
"2025/02/25 3:59:49 PM GMT+3","Весной","","","","","","","","","","","","","","","","","","","","","5","5","5","4","4","3","1","5","4","4","5","4","3","5","5","5","1","5","1","1","4","5","2","5","5","5","5","2","1","1","1","3","1","1","5","2","2","5","5","2","","","","","","","","","","","","","","","","","","","",""
